model_id,n_params,gpu_model,tdp_w,train_type,task,downloads,likes,source
Qwen/Qwen2-VL-2B-Instruct,72000000000.0,,,pre-train,image-text-to-text,3653163,507,huggingface
google-bert/bert-base-multilingual-cased,,,,fine-tune,fill-mask,3599812,592,huggingface
google-bert/bert-base-cased,,,,fine-tune,fill-mask,3597576,360,huggingface
docling-project/docling-models,,,,unknown,unknown,3560775,211,huggingface
timm/convnextv2_nano.fcmae_ft_in22k_in1k,,rtx 3090,350.0,fine-tune,image-classification,3513811,4,huggingface
jinaai/jina-embeddings-v3,9000000000.0,a100,400.0,pre-train,feature-extraction,3461822,1144,huggingface
cardiffnlp/twitter-roberta-base-sentiment-latest,124000000000.0,,,fine-tune,text-classification,3418513,809,huggingface
pyannote/segmentation,,,,pre-train,voice-activity-detection,3411124,677,huggingface
mistralai/Mistral-7B-Instruct-v0.3,7000000000.0,,,fine-tune,unknown,3392572,2623,huggingface
TostAI/nsfw-image-detection-large,,,,pre-train,unknown,3391054,18,huggingface
intfloat/e5-large-v2,,,,pre-train,sentence-similarity,3362164,279,huggingface
apple/mobilevit-small,1000000.0,,,fine-tune,image-classification,3310439,91,huggingface
Comfy-Org/stable-diffusion-v1-5-archive,,,,unknown,unknown,3272056,104,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-russian,,,,fine-tune,automatic-speech-recognition,3203491,75,huggingface
Qwen/Qwen3-32B,32000000000.0,,,pre-train,text-generation,3167218,700,huggingface
cross-encoder/ms-marco-MiniLM-L4-v2,,v100,300.0,pre-train,text-ranking,3153443,15,huggingface
Xenova/all-MiniLM-L6-v2,,,,unknown,feature-extraction,3150470,121,huggingface
llava-hf/llava-1.5-7b-hf,7000000000.0,,,pre-train,image-text-to-text,3124946,366,huggingface
Kijai/WanVideo_comfy,14000000000.0,,,unknown,unknown,3122771,2360,huggingface
distilbert/distilbert-base-uncased-finetuned-sst-2-english,3000000000.0,,,fine-tune,text-classification,3058266,902,huggingface
HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,35000000000.0,,,unknown,image-text-to-text,2983909,1605,huggingface
Qwen/Qwen2.5-Coder-14B-Instruct,32000000000.0,,,pre-train,text-generation,2916010,160,huggingface
moonshotai/Kimi-K2.6,6000000000.0,t4,70.0,unknown,image-text-to-text,2880537,1435,huggingface
google-t5/t5-small,60000000.0,,,pre-train,translation,2855552,550,huggingface
facebook/dinov2-small,,,,fine-tune,image-feature-extraction,2836263,66,huggingface
deepseek-ai/DeepSeek-V4-Flash,49000000000.0,,,pre-train,text-generation,2831325,1457,huggingface
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,2000000000.0,,,unknown,zero-shot-image-classification,2815326,141,huggingface
google/gemma-3-12b-it,12000000000.0,,,pre-train,image-text-to-text,2810935,744,huggingface
facebook/dinov2-large,,,,fine-tune,image-feature-extraction,2787622,113,huggingface
microsoft/deberta-v3-base,86000000000.0,,,unknown,fill-mask,2787139,425,huggingface
timm/resnet50.a1_in1k,,,,pre-train,image-classification,2786723,41,huggingface
sentence-transformers/multi-qa-mpnet-base-dot-v1,1000000000.0,,,pre-train,sentence-similarity,2774811,192,huggingface
facebook/bart-large-mnli,,,,pre-train,zero-shot-classification,2769101,1573,huggingface
autogluon/chronos-bolt-base,100000000000.0,,,pre-train,time-series-forecasting,2757544,34,huggingface
NeoQuasar/Kronos-Tokenizer-base,12000000000.0,,,pre-train,time-series-forecasting,2744861,57,huggingface
rhasspy/faster-whisper-tiny-int8,,,,unknown,unknown,2744616,6,huggingface
EleutherAI/pythia-160m,1000000000.0,,,fine-tune,text-generation,2743094,42,huggingface
Qwen/Qwen2.5-7B-Instruct-AWQ,72000000000.0,,,pre-train,text-generation,2724741,46,huggingface
RedHatAI/Qwen3.6-35B-A3B-NVFP4,35000000000.0,,,pre-train,unknown,2724189,154,huggingface
unsloth/Qwen3-Coder-Next-GGUF,3000000000.0,,,pre-train,text-generation,2705394,693,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,,,,fine-tune,automatic-speech-recognition,2697913,54,huggingface
patrickjohncyh/fashion-clip,2000000000.0,,,pre-train,zero-shot-image-classification,2694848,283,huggingface
pyannote/speaker-diarization-community-1,,,,pre-train,automatic-speech-recognition,2690144,518,huggingface
pyannote/voice-activity-detection,,,,pre-train,automatic-speech-recognition,2635862,235,huggingface
Qwen/Qwen3-VL-32B-Instruct,32000000000.0,,,pre-train,image-text-to-text,2622392,202,huggingface
Comfy-Org/Wan_2.1_ComfyUI_repackaged,,,,unknown,unknown,2619215,903,huggingface
google/gemma-4-E2B-it,2000000000.0,,,pre-train,any-to-any,2600393,714,huggingface
MahmoudAshraf/mms-300m-1130-forced-aligner,300000000000.0,,,pre-train,automatic-speech-recognition,2577684,91,huggingface
Qwen/Qwen3.5-27B,27000000000.0,,,unknown,image-text-to-text,2566085,983,huggingface
microsoft/Florence-2-base,5400000000.0,,,fine-tune,image-text-to-text,2543389,378,huggingface
unsloth/gemma-4-E4B-it,4000000000.0,,,fine-tune,image-text-to-text,2532522,22,huggingface
MiniMaxAI/MiniMax-M2.7,,,,unknown,text-generation,2494274,1199,huggingface
Qwen/Qwen3.5-0.8B,800000000.0,,,unknown,image-text-to-text,2493176,568,huggingface
google-t5/t5-base,220000000.0,,,pre-train,translation,2486914,779,huggingface
Qwen/Qwen3.5-35B-A3B,35000000000.0,,,unknown,image-text-to-text,2449633,1444,huggingface
deepseek-ai/DeepSeek-OCR,,,,pre-train,image-text-to-text,2404442,3275,huggingface
cross-encoder/ms-marco-MiniLM-L12-v2,,v100,300.0,pre-train,text-ranking,2399216,106,huggingface
emilyalsentzer/Bio_ClinicalBERT,880000000000.0,,,pre-train,fill-mask,2377823,432,huggingface
Qwen/Qwen3-Embedding-4B,4000000000.0,,,pre-train,feature-extraction,2360699,275,huggingface
Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,1000000000.0,,,unknown,text-generation,2347134,53,huggingface
openai/whisper-small,39000000000.0,,,fine-tune,automatic-speech-recognition,2283670,565,huggingface
google/electra-small-discriminator,,,,pre-train,unknown,2252640,38,huggingface
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,,,,pre-train,fill-mask,2251255,94,huggingface
openai/clip-vit-large-patch14-336,,,,unknown,zero-shot-image-classification,2232088,307,huggingface
sentence-transformers/all-distilroberta-v1,1000000000.0,,,fine-tune,sentence-similarity,2216344,43,huggingface
prefeitura-rio/Rio-3.0-Open-Mini,4000000000.0,,,pre-train,text-generation,2207256,8,huggingface
IDEA-Research/grounding-dino-base,,,,pre-train,zero-shot-object-detection,2193276,186,huggingface
Comfy-Org/z_image_turbo,,,,unknown,unknown,2185176,717,huggingface
k2-fsa/OmniVoice,600000000.0,,,pre-train,text-to-speech,2162905,1012,huggingface
Salesforce/blip-image-captioning-base,,,,pre-train,image-to-text,2123746,860,huggingface
charactr/vocos-mel-24khz,,,,pre-train,unknown,2114320,41,huggingface
intfloat/e5-base-v2,,,,pre-train,sentence-similarity,2112417,156,huggingface
meta-llama/Llama-3.2-1B,1000000000.0,h100,700.0,pre-train,text-generation,2096885,2444,huggingface
moonshotai/Kimi-K2-Instruct-0905,32000000000.0,,,unknown,text-generation,2087153,721,huggingface
Qwen/Qwen2.5-Coder-7B-Instruct,32000000000.0,,,pre-train,text-generation,2085546,726,huggingface
autogluon/chronos-bolt-tiny,100000000000.0,,,pre-train,time-series-forecasting,2083501,13,huggingface
vikhyatk/moondream2,,,,pre-train,image-text-to-text,2074069,1417,huggingface
timm/vit_small_patch14_reg4_dinov2.lvd142m,142000000000.0,,,pre-train,image-feature-extraction,2068003,7,huggingface
Qwen/Qwen3-0.6B-FP8,600000000.0,,,pre-train,text-generation,2062545,61,huggingface
Lightricks/LTX-2.3,22000000000.0,,,unknown,image-to-video,2059605,1350,huggingface
EleutherAI/pythia-70m-deduped,1000000000.0,,,fine-tune,text-generation,2052982,28,huggingface
Qwen/Qwen2.5-0.5B,72000000000.0,,,unknown,text-generation,2042799,420,huggingface
Qwen/Qwen3-30B-A3B,30000000000.0,,,pre-train,text-generation,2039860,899,huggingface
microsoft/Phi-3.5-vision-instruct,7000000000.0,a100,400.0,pre-train,image-text-to-text,2030029,737,huggingface
TinyLlama/TinyLlama-1.1B-Chat-v1.0,627000000000.0,a100,400.0,fine-tune,text-generation,2029802,1615,huggingface
microsoft/layoutlmv3-base,,,,fine-tune,unknown,2026050,499,huggingface
Bingsu/yolo-world-mirror,,,,unknown,unknown,2006047,6,huggingface
Qwen/Qwen2.5-14B-Instruct,72000000000.0,,,pre-train,text-generation,2005181,347,huggingface
amazon/chronos-t5-small,8000000000.0,,,pre-train,time-series-forecasting,2002108,142,huggingface
Qwen/Qwen3-TTS-12Hz-1.7B-Base,1700000000.0,,,pre-train,unknown,1994124,416,huggingface
datalab-to/chandra-ocr-2,8000000000.0,h100,700.0,pre-train,image-text-to-text,1984931,375,huggingface
Qwen/Qwen3-Coder-30B-A3B-Instruct,30000000000.0,,,pre-train,text-generation,1961682,1098,huggingface
speechbrain/spkrec-ecapa-voxceleb,,,,pre-train,unknown,1955478,328,huggingface
microsoft/mdeberta-v3-base,86000000000.0,,,unknown,fill-mask,1949489,224,huggingface
Qwen/Qwen3-VL-2B-Instruct,2000000000.0,,,pre-train,image-text-to-text,1944930,421,huggingface
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,1000000000.0,,,pre-train,text-generation,1942215,4,huggingface
openai-community/gpt2-large,40000000000.0,,,fine-tune,text-generation,1937771,352,huggingface
nvidia/Gemma-4-31B-IT-NVFP4,31000000000.0,h100,700.0,unknown,text-generation,1937692,507,huggingface
Qwen/Qwen3-14B-AWQ,14000000000.0,t4,70.0,pre-train,text-generation,1936664,65,huggingface
kyutai/mimi,,,,pre-train,feature-extraction,1908173,306,huggingface
Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,1700000000.0,,,pre-train,text-to-speech,1904550,1589,huggingface
facebook/sam3,,,,pre-train,mask-generation,1879279,2180,huggingface
ibm-granite/granite-embedding-small-english-r2,47000000000.0,h100,700.0,pre-train,feature-extraction,1838598,70,huggingface
Qwen/Qwen3-Embedding-8B,8000000000.0,,,pre-train,feature-extraction,1827832,699,huggingface
google/vit-base-patch16-224-in21k,14000000.0,,,fine-tune,image-feature-extraction,1824988,410,huggingface
autogluon/chronos-2-small,28000000000.0,,,pre-train,time-series-forecasting,1809962,4,huggingface
zai-org/GLM-5-FP8,355000000000.0,,,pre-train,text-generation,1804125,178,huggingface
deepseek-ai/DeepSeek-OCR-2,,,,pre-train,image-text-to-text,1801027,981,huggingface
Qwen/Qwen3.5-27B-FP8,27000000000.0,,,unknown,image-text-to-text,1800423,135,huggingface
w11wo/indonesian-roberta-base-posp-tagger,,,,fine-tune,token-classification,1796594,10,huggingface
E-MIMIC/inclusively-reformulation-it5,,,,fine-tune,unknown,1776589,2,huggingface
facebook/dinov2-base,,,,fine-tune,image-feature-extraction,1771179,181,huggingface
Qwen/Qwen3-8B-AWQ,8000000000.0,t4,70.0,pre-train,text-generation,1763246,45,huggingface
facebook/wav2vec2-base,,l4,72.0,fine-tune,unknown,1762547,122,huggingface
Qwen/Qwen2.5-72B-Instruct-AWQ,72000000000.0,,,pre-train,text-generation,1755548,78,huggingface
neuralmind/bert-large-portuguese-cased,110000000000.0,,,pre-train,fill-mask,1724587,73,huggingface
cyankiwi/Qwen3.6-27B-AWQ-INT4,27000000000.0,,,unknown,image-text-to-text,1714796,78,huggingface
Lorbus/Qwen3.6-27B-int4-AutoRound,27000000000.0,t4,70.0,pre-train,image-text-to-text,1712763,112,huggingface
stable-diffusion-v1-5/stable-diffusion-v1-5,5000000000.0,a100,400.0,fine-tune,text-to-image,1704765,1146,huggingface
google/embeddinggemma-300m,320000000000.0,t4,70.0,pre-train,sentence-similarity,1701766,1704,huggingface
Kijai/LTX2.3_comfy,,,,unknown,unknown,1696585,459,huggingface
ResembleAI/chatterbox,756000000000.0,l4,72.0,pre-train,text-to-speech,1694198,1608,huggingface
Qwen/Qwen3.5-2B,2000000000.0,,,unknown,image-text-to-text,1669241,302,huggingface
timm/resnet18.a1_in1k,,,,pre-train,image-classification,1669204,14,huggingface
llamafactory/tiny-random-Llama-3,8000000000.0,,,unknown,text-generation,1660343,3,huggingface
google/gemma-3-1b-it,1000000000.0,,,pre-train,text-generation,1658957,1001,huggingface
CIDAS/clipseg-rd64-refined,,,,unknown,image-segmentation,1653964,140,huggingface
Qwen/Qwen3-VL-235B-A22B-Instruct,235000000000.0,,,pre-train,image-text-to-text,1649569,392,huggingface
FinLang/finance-embeddings-investopedia,,,,fine-tune,sentence-similarity,1648253,65,huggingface
Qwen/Qwen3-14B,14000000000.0,,,pre-train,text-generation,1640580,405,huggingface
facebook/esm2_t12_35M_UR50D,15000000000.0,t4,70.0,unknown,fill-mask,1638170,23,huggingface
moonshotai/Kimi-K2.5,6000000000.0,t4,70.0,pre-train,image-text-to-text,1628891,2816,huggingface
microsoft/table-transformer-detection,1000000000.0,,,fine-tune,object-detection,1624518,424,huggingface
unsloth/gemma-4-26B-A4B-it-GGUF,26000000000.0,,,fine-tune,image-text-to-text,1620615,848,huggingface
mistralai/Mistral-7B-Instruct-v0.2,7000000000.0,,,fine-tune,text-generation,1618060,3157,huggingface
SulphurAI/Sulphur-2-base,,,,unknown,text-to-video,1617418,1617,huggingface
Qwen/Qwen2-VL-7B-Instruct,72000000000.0,,,pre-train,image-text-to-text,1608343,1280,huggingface
Xenova/bge-base-en-v1.5,,,,unknown,feature-extraction,1606283,9,huggingface
distilbert/distilroberta-base,82000000000.0,,,fine-tune,fill-mask,1603722,177,huggingface
google/gemma-3-4b-it,4000000000.0,,,pre-train,image-text-to-text,1601809,1359,huggingface
jinaai/jina-reranker-v2-base-multilingual,278000000000.0,,,fine-tune,text-ranking,1585058,351,huggingface
Qwen/Qwen3-VL-Embedding-8B,8000000000.0,,,unknown,sentence-similarity,1580754,430,huggingface
facebook/m2m100_1.2B,1200000000.0,,,fine-tune,unknown,1579598,202,huggingface
usyd-community/vitpose-plus-base,1000000000.0,a100,400.0,pre-train,keypoint-detection,1575558,32,huggingface
Qwen/Qwen3-Omni-30B-A3B-Instruct,30000000000.0,t4,70.0,fine-tune,any-to-any,1562976,936,huggingface
Qwen/Qwen3-ASR-1.7B,1700000000.0,,,pre-train,automatic-speech-recognition,1553493,868,huggingface
Alibaba-NLP/gte-large-en-v1.5,7000000000.0,,,pre-train,sentence-similarity,1550013,236,huggingface
depth-anything/Depth-Anything-V2-Small-hf,62000000.0,,,fine-tune,depth-estimation,1546808,37,huggingface
jonatasgrosman/wav2vec2-large-xlsr-53-polish,,,,fine-tune,automatic-speech-recognition,1545521,12,huggingface
OpenGVLab/InternVL2-2B,1000000000.0,,,pre-train,image-text-to-text,1545126,80,huggingface
HuggingFaceTB/SmolLM2-135M-Instruct,1700000000.0,h100,700.0,pre-train,text-generation,1543897,340,huggingface
facebook/bart-large-cnn,,,,fine-tune,summarization,1543264,1586,huggingface
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,4000000000.0,,,pre-train,feature-extraction,1539640,70,huggingface
Qwen/Qwen2-VL-7B-Instruct-AWQ,72000000000.0,a100,400.0,pre-train,image-text-to-text,1538289,49,huggingface
openvla/openvla-7b,7000000000.0,,,fine-tune,robotics,1536683,226,huggingface
WhereIsAI/UAE-Large-V1,,,,pre-train,feature-extraction,1521212,237,huggingface
Qwen/Qwen2.5-Coder-32B-Instruct,32000000000.0,,,pre-train,text-generation,1516785,2039,huggingface
unsloth/Qwen3.6-35B-A3B-GGUF,35000000000.0,,,fine-tune,image-text-to-text,1512700,1196,huggingface
BAAI/bge-reranker-large,7000000000.0,,,fine-tune,feature-extraction,1512043,464,huggingface
Qwen/Qwen3Guard-Gen-0.6B,600000000.0,,,pre-train,text-generation,1510846,73,huggingface
meta-llama/Llama-3.2-3B-Instruct,1000000000.0,h100,700.0,pre-train,text-generation,1509782,2214,huggingface
intfloat/multilingual-e5-large-instruct,1000000000.0,,,pre-train,feature-extraction,1507323,623,huggingface
Qwen/Qwen3.5-35B-A3B-FP8,35000000000.0,,,unknown,image-text-to-text,1504355,151,huggingface
apple/OpenELM-1_1B-Instruct,1100000000.0,,,pre-train,text-generation,1492317,75,huggingface
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,120000000000.0,h100,700.0,fine-tune,text-generation,1490275,346,huggingface
google/flan-t5-base,540000000000.0,,,fine-tune,unknown,1477644,1082,huggingface
allenai/longformer-base-4096,,,,pre-train,unknown,1466775,227,huggingface
nvidia/bigvgan_v2_22khz_80band_256x,122000000000.0,a100,400.0,fine-tune,audio-to-audio,1465502,29,huggingface
Qwen/Qwen2.5-Omni-3B,7000000000.0,,,pre-train,any-to-any,1462114,336,huggingface
amazon/chronos-bolt-small,100000000000.0,,,pre-train,time-series-forecasting,1461124,19,huggingface
Qwen/Qwen2.5-14B-Instruct-AWQ,72000000000.0,,,pre-train,text-generation,1455949,36,huggingface
facebook/esmfold_v1,,,,unknown,unknown,1454381,50,huggingface
docling-project/docling-layout-heron,256000000000.0,,,pre-train,unknown,1447189,43,huggingface
hustvl/vitmatte-small-composition-1k,,,,fine-tune,unknown,1446192,54,huggingface
Marqo/marqo-fashionSigLIP,,,,fine-tune,zero-shot-image-classification,1439259,77,huggingface
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,30000000000.0,a100,400.0,fine-tune,text-generation,1422536,761,huggingface
google/gemma-3-27b-it,27000000000.0,,,pre-train,image-text-to-text,1418920,1975,huggingface
ibm-research/PowerMoE-3b,3000000000.0,,,pre-train,text-generation,1414561,20,huggingface
facebook/musicgen-medium,1500000000.0,l4,72.0,pre-train,text-to-audio,1412813,162,huggingface
openai/whisper-tiny,39000000000.0,,,fine-tune,automatic-speech-recognition,1395519,432,huggingface
sentence-transformers/paraphrase-mpnet-base-v2,,,,pre-train,sentence-similarity,1390475,49,huggingface
nvidia/Qwen3.6-35B-A3B-NVFP4,35000000000.0,,,fine-tune,text-generation,1387218,207,huggingface
